path,type,domain,added_date,last_commit_date,lines,status_candidate,runtime_relevance,notes
docs/architecture_audits/2026-09-05-storefront-appearance-builder-architecture-audit.md,audit,storefront_presentation,2026-09-05,2026-09-05,905,QA_EVIDENCE,reference,
docs/architecture_audits/final_closure_pack/01-current-product-capability-inventory.md,audit,cross_cutting,2026-09-05,2026-09-05,144,QA_EVIDENCE,reference,
docs/architecture_audits/final_closure_pack/02-source-of-truth-and-writer-census.md,audit,cross_cutting,2026-09-05,2026-09-05,231,QA_EVIDENCE,reference,
docs/architecture_audits/final_closure_pack/03-component-contract-and-builder-coverage.md,audit,storefront_presentation,2026-09-05,2026-09-05,187,QA_EVIDENCE,reference,
docs/architecture_audits/final_closure_pack/04-50-template-dna-reality-check.md,audit,storefront_presentation,2026-09-05,2026-09-05,237,QA_EVIDENCE,reference,
docs/architecture_audits/final_closure_pack/05-runtime-parity-and-quality-readiness.md,audit,cross_cutting,2026-09-05,2026-09-05,160,QA_EVIDENCE,reference,
docs/architecture_audits/final_closure_pack/06-legacy-retirement-and-migration-readiness.md,audit,cross_cutting,2026-09-05,2026-09-05,77,QA_EVIDENCE,reference,
docs/architecture_audits/final_closure_pack/07-master-current-state-blueprint.md,audit,cross_cutting,2026-09-05,2026-09-05,418,QA_EVIDENCE,reference,
docs/architecture_decisions/2026-09-05-storefront-appearance-convergence-decision-baseline.md,decision_record,storefront_presentation,2026-09-05,2026-09-05,1307,SUPPORTING,medium,
docs/architecture_reviews/2026-09-05-kiro-storefront-appearance-convergence-workflow-review.md,review,storefront_presentation,2026-09-05,2026-09-05,367,HISTORICAL,reference,
docs/architecture/STOREFRONT_BUILDER_V2_DATA_LIFECYCLE.md,architecture_map,storefront_presentation,2026-08-11,2026-08-11,253,SUPPORTING,medium,
docs/architecture/STOREFRONT_BUILDER_V2_EXISTING_CAPABILITY_AUDIT.md,audit,storefront_presentation,2026-08-11,2026-08-11,213,QA_EVIDENCE,reference,
docs/architecture/STOREFRONT_BUILDER_V2_IMPLEMENTATION_PLAN.md,plan,storefront_presentation,2026-08-11,2026-08-11,282,PLAN_ONLY,reference,
docs/architecture/STOREFRONT_BUILDER_V2_LEGACY_RETIREMENT_MAP.md,architecture_map,storefront_presentation,2026-08-12,2026-08-12,79,SUPPORTING,medium,
docs/architecture/STOREFRONT_BUILDER_V2_LEGACY_VISUAL_PATTERN_EXTRACTION.md,architecture_doc,storefront_presentation,2026-08-12,2026-08-12,161,SUPPORTING,medium,
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_0_5_REPORT.md,phase_report,storefront_presentation,2026-08-11,2026-08-11,367,HISTORICAL,reference,
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_1A_REPORT.md,phase_report,storefront_presentation,2026-08-11,2026-08-11,294,HISTORICAL,reference,
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_AUDIT.md,audit,storefront_presentation,2026-08-11,2026-08-11,85,QA_EVIDENCE,reference,
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_REPORT.md,phase_report,storefront_presentation,2026-08-11,2026-08-11,190,HISTORICAL,reference,
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_2_AUDIT.md,audit,storefront_presentation,2026-08-11,2026-08-11,48,QA_EVIDENCE,reference,
