source_path,target_path,source_manifest_record,disposition,batch,sub_batch,source_root,retained_sibling_exists,incoming_reference_count,canonical_reference,code_reference,link_break_risk,safe_to_move,reason
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_0_5_REPORT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_0_5_REPORT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_0_5_REPORT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,0,0,0,NONE,TRUE,provenance-preserving move; no blocking incoming reference
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_AUDIT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_AUDIT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_AUDIT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,1,0,0,LOW,TRUE,provenance-preserving move; no blocking incoming reference; 1 incoming ref(s) from archivable/deferred docs move-together/deferred
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_REPORT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_REPORT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_1B_REPORT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,0,0,0,NONE,TRUE,provenance-preserving move; no blocking incoming reference
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_2_AUDIT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_2_AUDIT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_2_AUDIT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,0,0,0,NONE,TRUE,provenance-preserving move; no blocking incoming reference
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_2_REPORT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_2_REPORT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_2_REPORT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,0,0,0,NONE,TRUE,provenance-preserving move; no blocking incoming reference
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_3_AUDIT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_3_AUDIT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_3_AUDIT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,1,0,0,LOW,TRUE,provenance-preserving move; no blocking incoming reference; 1 incoming ref(s) from archivable/deferred docs move-together/deferred
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_3_REPORT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_3_REPORT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_3_REPORT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,0,0,0,NONE,TRUE,provenance-preserving move; no blocking incoming reference
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_4_AUDIT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_4_AUDIT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_4_AUDIT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,1,0,0,LOW,TRUE,provenance-preserving move; no blocking incoming reference; 1 incoming ref(s) from archivable/deferred docs move-together/deferred
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_4_REPORT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_4_REPORT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_4_REPORT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,0,0,0,NONE,TRUE,provenance-preserving move; no blocking incoming reference
docs/architecture/STOREFRONT_BUILDER_V2_PHASE_5_REPORT.md,docs/archive/architecture/STOREFRONT_BUILDER_V2_PHASE_5_REPORT.md,docs/architecture/STOREFRONT_BUILDER_V2_PHASE_5_REPORT.md,ARCHIVE_CANDIDATE,C,C,docs/architecture,TRUE,0,0,0,NONE,TRUE,provenance-preserving move; no blocking incoming reference
